"id","name","Common Name","edible or poisonous?"
449,"Carya illinoinensis","Pecan","edible nut"
450,"Betula pendula","Silver birch","edible sap, inner bark, young leaves"
451,"Cyperus eragrostis","Tall Flatsedge","edible roots"
452,"Trifolium willdenovii","Common Name","edible or poisonous?"
453,"Ulmus crassifolia","Cedar elm","edible inner bark and leaves"
454,"Carex pensylvanica","Common Name","edible or poisonous?"
455,"Pleopeltis polypodioides","Common Name","edible or poisonous?"
456,"Portulaca oleracea","Common Purslane","edible plant"
457,"Lobelia angulata","Common Name","edible or poisonous?"
458,"Eremalche rotundifolia","Common Name","edible or poisonous?"
459,"Perilla frutescens","Common Name","edible or poisonous?"
460,"Bothriochloa ischaemum","Common Name","edible or poisonous?"
461,"Eriogonum inflatum","Common Name","edible or poisonous?"
462,"Empetrum nigrum","Crowberry","edible"
463,"Heuchera micrantha","Common Name","edible or poisonous?"
464,"Botrypus virginianus","Common Name","edible or poisonous?"
465,"Anemone virginiana","Common Name","edible or poisonous?"
466,"Bouteloua curtipendula","Common Name","edible or poisonous?"
467,"Bellardia trixago","Common Name","edible or poisonous?"
468,"Platystemon californicus","Common Name","edible or poisonous?"
469,"Brasenia schreberi","Common Name","edible or poisonous?"
470,"Carpodetus serratus","Common Name","edible or poisonous?"
471,"Vaccinium parvifolium","Red Huckleberry","edible berry"
472,"Oxalis montana","Common Name","edible or poisonous?"
473,"Bidens alba","Common Name","edible or poisonous?"
474,"Darmera peltata","Common Name","edible or poisonous?"
475,"Calochortus albus","White fairy-lantern","edible roots"
476,"Fuchsia excorticata","Common Name","edible or poisonous?"
477,"Mikania scandens","Common Name","edible or poisonous?"
478,"Erythronium oregonum","Giant White Fawn Lily","edible roots"
479,"Capparis spinosa","Common Name","edible or poisonous?"
480,"Xerophyllum tenax","Common Name","edible or poisonous?"
481,"Buddleja davidii","Common Name","edible or poisonous?"
482,"Calendula officinalis","Common Name","edible or poisonous?"
483,"Lupinus polyphyllus","Large-leaved lupine","Poisonous"
484,"Maianthemum canadense","Canada Mayflower","edible berries"
485,"Calochortus plummerae","Plummer's mariposa lily","edible roots"
486,"Houstonia pusilla","Common Name","edible or poisonous?"
487,"Portulaca pilosa","Pink purslane","edible plant"
488,"Arctium minus","Lesser Burdock","edible roots, leaves, stalks"
489,"Calyptridium monospermum","Common Name","edible or poisonous?"
